config,row_id,true_color,written_color,correct,value_source,pixel_value,pixel_conf,pixel_region,pixel_declined,probe_value,estimators_agree,pixel_correct,probe_correct
no_gen,lamp_035,brown,brown,1.0,pixel,brown,0.6111665004985045,foreground,False,brown,True,1.0,1.0
no_gen,ring_017,red,red,1.0,pixel,red,0.894649523019494,foreground,False,red,True,1.0,1.0
no_gen,rug_019,purple,purple,1.0,pixel,purple,0.6643529995042142,foreground,False,purple,True,1.0,1.0
no_gen,shirts_018,brown,brown,1.0,pixel,brown,0.8895582329317269,foreground,False,brown,True,1.0,1.0
no_gen,shirts_023,blue,blue,1.0,pixel,blue,0.9081486776268763,foreground,False,blue,True,1.0,1.0
no_gen,shirts_058,orange,orange,1.0,pixel,orange,0.9226847918436704,foreground,False,orange,True,1.0,1.0
no_gen,suitcase_053,black,,,pixel,black,0.8784067085953878,foreground,False,green,False,1.0,0.0
no_gen,table_051,purple,brown,0.0,,,,,False,,,,
no_gen,wall_art_019,blue,,,pixel,black,0.5723877465379773,foreground,False,green,False,0.0,0.0
no_gen,wall_art_031,black,,,pixel,black,0.5723877465379773,foreground,False,green,False,1.0,0.0
no_gamma,bags_010,purple,white,0.0,,,,,False,,,,
no_gamma,bags_024,pink,pink,1.0,pixel,pink,0.8673209741912032,foreground,False,pink,True,1.0,1.0
no_gamma,bags_041,brown,pink,0.0,,,,,False,,,,
no_gamma,chair_012,yellow,yellow,1.0,pixel,yellow,0.9253663003663004,foreground,False,yellow,True,1.0,1.0
no_gamma,chair_017,purple,,,probe,,,,False,paper,False,,0.0
no_gamma,chair_018,black,,,pixel,black,0.8555499239736442,foreground,False,brown,False,1.0,0.0
no_gamma,chair_040,white,,,pixel,white,0.8890845070422535,foreground,False,green,False,1.0,0.0
no_gamma,chair_051,black,,0.0,probe,,,,False,paper,False,,0.0
no_gamma,earring_002,orange,orange,1.0,pixel,orange,0.7688008130081301,foreground,False,orange,True,1.0,1.0
no_gamma,earring_008,green,green,1.0,pixel,green,0.7122047244094488,foreground,False,green,True,1.0,1.0
no_gamma,handbag_026,pink,pink,1.0,pixel,pink,0.9312883435582822,foreground,False,pink,True,1.0,1.0
no_gamma,handbag_038,yellow,yellow,1.0,pixel,yellow,0.9352245862884161,foreground,False,yellow,True,1.0,1.0
no_gamma,hats_033,red,red,1.0,pixel,red,0.8815272318921954,foreground,False,red,True,1.0,1.0
no_gamma,hats_049,gray,,,pixel,gray,0.5849825378346915,foreground,False,green,False,1.0,0.0
no_gamma,hats_059,blue,blue,1.0,pixel,blue,0.9286946520989074,foreground,False,blue,True,1.0,1.0
no_gamma,lamp_035,brown,brown,1.0,pixel,brown,0.6111665004985045,foreground,False,brown,True,1.0,1.0
no_gamma,lamp_055,pink,pink,1.0,pixel,pink,0.9001603849238171,foreground,False,pink,True,1.0,1.0
no_gamma,necklace_033,brown,brown,1.0,pixel,brown,0.8833878887070377,foreground,False,brown,True,1.0,1.0
no_gamma,necklace_037,black,pink,0.0,pixel,pink,0.8825974025974026,foreground,False,pink,True,0.0,0.0
no_gamma,necklace_057,orange,orange,1.0,pixel,orange,0.8125894134477826,foreground,False,orange,True,1.0,1.0
no_gamma,ottoman_026,purple,green,0.0,,,,,False,,,,
no_gamma,ring_017,red,red,1.0,pixel,red,0.894649523019494,foreground,False,red,True,1.0,1.0
no_gamma,ring_051,black,black,1.0,pixel,black,0.8711578947368421,foreground,False,black,True,1.0,1.0
no_gamma,rug_011,orange,orange,1.0,pixel,orange,0.926829268292683,foreground,False,orange,True,1.0,1.0
no_gamma,rug_019,purple,purple,1.0,pixel,purple,0.6643529995042142,foreground,False,purple,True,1.0,1.0
no_gamma,rug_035,gray,,,pixel,gray,0.9504785684560966,foreground,False,green,False,1.0,0.0
no_gamma,shirts_018,brown,brown,1.0,pixel,brown,0.8895582329317269,foreground,False,brown,True,1.0,1.0
no_gamma,shirts_023,blue,blue,1.0,pixel,blue,0.9081486776268763,foreground,False,blue,True,1.0,1.0
no_gamma,shirts_058,orange,orange,1.0,pixel,orange,0.9226847918436704,foreground,False,orange,True,1.0,1.0
no_gamma,sofa_000,blue,brown,0.0,,,,,False,,,,
no_gamma,stool_029,pink,pink,1.0,pixel,pink,0.9126126126126126,foreground,False,pink,True,1.0,1.0
no_gamma,stool_044,pink,pink,1.0,pixel,pink,0.6989517819706499,foreground,False,pink,True,1.0,1.0
no_gamma,suitcase_020,pink,,,pixel,blue,0.6928221132411948,foreground,False,gray,False,0.0,0.0
no_gamma,suitcase_053,black,,,pixel,black,0.8784067085953878,foreground,False,green,False,1.0,0.0
no_gamma,table_051,purple,brown,0.0,,,,,False,,,,
no_gamma,wall_art_019,blue,,,pixel,black,0.5723877465379773,foreground,False,green,False,0.0,0.0
no_gamma,wall_art_031,black,,,pixel,black,0.5723877465379773,foreground,False,green,False,1.0,0.0
